observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
341,-3550,-4500,-4500,-2800,-7600,-2850,-5250,-3300,-6600,-3800,-3900,-4500,-5750,-3600,-2300,-3900,-3750,-3600,-7650,-3000,-7850,-2300,-3750,-3150,-4950
342,-3550,-4500,-4500,-2800,-7550,-2850,-5300,-3300,-6600,-3800,-3850,-4900,-5750,-3600,-2300,-3900,-3750,-3500,-7650,-3300,-7850,-2400,-3750,-3700,-5000
343,-3550,-4500,-4500,-2850,-7550,-2850,-5300,-3250,-5400,-3800,-3850,-4900,-5700,-2950,-2300,-3950,-3750,-3500,-7650,-3300,-7650,-2400,-3150,-3700,-5000
344,-3600,-4500,-4300,-2850,-7200,-2900,-5300,-3250,-5400,-3800,-3100,-4900,-5700,-2950,-2300,-3950,-3800,-3650,-7650,-3250,-7650,-4700,-3150,-3700,-5000
345,-3600,-4500,-4300,-2900,-7200,-2900,-5350,-3200,-5400,-3750,-3100,-4900,-5800,-2950,-2350,-3300,-3800,-3650,-7900,-3250,-7900,-4700,-3200,-3700,-5000
346,-3600,-4500,-4300,-2900,-6450,-2900,-5350,-3200,-5400,-3750,-3400,-4850,-5800,-2950,-2350,-3300,-3800,-1950,-7900,-3250,-7900,-4650,-3200,-3750,-5000
347,-3600,-4500,-4300,-2950,-6450,-2900,-5350,-2900,-5400,-3750,-3400,-4850,-5800,-3000,-2350,-3300,-3800,-1950,-7600,-3250,-7600,-4650,-3250,-3750,-5000
348,-3600,-4300,-4250,-2950,-6400,-2650,-4700,-2900,-5400,-3750,-3350,-4800,-5800,-3000,-2350,-3300,-3850,-2250,-7600,-3200,-7600,-4550,-3250,-3200,-4650
349,-3600,-4300,-4250,-3000,-6400,-2650,-4750,-2850,-5400,-3650,-3350,-4800,-5850,-3000,-2400,-3350,-3850,-2250,-7600,-3200,-7550,-4550,-3300,-3200,-4650
350,-2950,-4300,-4250,-3000,-6350,-2600,-4800,-2850,-5400,-3650,-3300,-4750,-5850,-3000,-2400,-3350,-3900,-2450,-7600,-3200,-7550,-4600,-3300,-3250,-4650
351,-2950,-4300,-4250,-3050,-6350,-2600,-4850,-3750,-5400,-3650,-3300,-4750,-5850,-3000,-2400,-3350,-3900,-2450,-7550,-3200,-8250,-4600,-3550,-3250,-4650
352,-3000,-4300,-4000,-3050,-6000,-2450,-4850,-3700,-5400,-3650,-3250,-4700,-5850,-3000,-2400,-3350,-3950,-2400,-7550,-2750,-8250,-4900,-3550,-2750,-4650
353,-3000,-4300,-4000,-2550,-6000,-2450,-4850,-3650,-5400,-3700,-3250,-4700,-5900,-3050,-2450,-3400,-3950,-2400,-7550,-2750,-8350,-4900,-3600,-2750,-4650
354,-3050,-4250,-4000,-2550,-6300,-2700,-4900,-3600,-5450,-3700,-2050,-5150,-5900,-3050,-2450,-3400,-3300,-2350,-7550,-2800,-8350,-5300,-3600,-2800,-4650
355,-3050,-4250,-4000,-2600,-6300,-2700,-4900,-3550,-5450,-3700,-2050,-5150,-6000,-3050,-2450,-3400,-3300,-2350,-8250,-2800,-8300,-5300,-3650,-2800,-4650
356,-3100,-4250,-4050,-2600,-5950,-2700,-4900,-3050,-5450,-3700,-3600,-5200,-6000,-3050,-2450,-3400,-3300,-2300,-8250,-2850,-8300,-4450,-3650,-2850,-4550
357,-3100,-4250,-4050,-2650,-5950,-2700,-4950,-3050,-5450,-3850,-3600,-5200,-6150,-3050,-2050,-3450,-3300,-2300,-8350,-2850,-7750,-4450,-3350,-2850,-4550
358,-3100,-4250,-4050,-2650,-5950,-2750,-4950,-3000,-5450,-3850,-3650,-5000,-6150,-3050,-2050,-3450,-3300,-2000,-8350,-3350,-7750,-4850,-3350,-2900,-4550
359,-3100,-4250,-4050,-2700,-5950,-2750,-4950,-3000,-5450,-3850,-3650,-5000,-6100,-3100,-2100,-3450,-3300,-2000,-8300,-3350,-7800,-4850,-3400,-2900,-4550
360,-3150,-4000,-4050,-2700,-5900,-2750,-5000,-2950,-5450,-3850,-3500,-5000,-6100,-3100,-2100,-3450,-3350,-2050,-8300,-3400,-7800,-4800,-3400,-2950,-4550
361,-3150,-4000,-4050,-2650,-5900,-2750,-5000,-2950,-5450,-3900,-3500,-5000,-6050,-3100,-2800,-3500,-3350,-2050,-7750,-3400,-3600,-4800,-3450,-2950,-4600
362,-3150,-4000,-4100,-2650,-6150,-2800,-5000,-3400,-5450,-3900,-3450,-5050,-6050,-3100,-2800,-3500,-3350,-2100,-7750,-3700,-3600,-4750,-3450,-3000,-4600
